episode,phase,success_rate,crash_rate,mean_reward,epsilon
250,survive,0.236,0.764,10.814,0.054
500,catch,0.256,0.74,10.405,0.18
750,evade,0.22,0.764,5.339,0.27
1000,evade,0.1,0.884,-10.376,0.051
250,survive,0.236,0.764,10.814,0.054
500,catch,0.256,0.74,10.405,0.18
750,evade,0.22,0.764,5.339,0.27
1000,evade,0.1,0.884,-10.376,0.051
1500,evade+,0.092,0.888,-6.58,0.051
1750,EVADE+,0.088,0.892,-7.786,0.288
2000,EVADE+,0.096,0.88,-4.782,0.275
2250,EVADE+,0.064,0.916,-11.571,0.263
2500,EVADE+,0.068,0.9,-11.129,0.25
2750,EVADE+,0.072,0.928,-9.369,0.238
3000,EVADE+,0.064,0.928,-10.357,0.225
3250,EVADE+,0.068,0.932,-10.506,0.213
3500,EVADE+,0.096,0.9,-3.941,0.2
3750,EVADE+,0.088,0.9,-5.488,0.188
4000,EVADE+,0.06,0.936,-9.332,0.175
4250,EVADE+,0.076,0.912,-10.108,0.163
4320,interrupted,0.064,0.932,-11.273,0.05
4500,EVADE+,0.06,0.94,-13.227,0.291
4750,EVADE+,0.108,0.892,-6.468,0.279
5000,EVADE+,0.06,0.936,-12.593,0.266
5250,EVADE+,0.092,0.908,-6.632,0.254
5500,EVADE+,0.112,0.888,-4.225,0.241
5750,EVADE+,0.092,0.908,-6.153,0.229
6000,EVADE+,0.052,0.948,-13.916,0.216
6250,EVADE+,0.092,0.908,-2.283,0.204
6500,EVADE+,0.124,0.868,-1.406,0.191
6750,EVADE+,0.164,0.832,8.2,0.179
7000,EVADE+,0.136,0.864,-0.182,0.166
7250,EVADE+,0.108,0.892,-3.464,0.154
7500,EVADE+,0.132,0.868,-1.763,0.141
7750,EVADE+,0.144,0.856,0.957,0.129
8000,EVADE+,0.124,0.876,-0.004,0.116
8250,EVADE+,0.104,0.896,-4.129,0.104
8500,EVADE+,0.192,0.808,12.77,0.091
8750,EVADE+,0.204,0.796,13.15,0.079
9000,EVADE+,0.224,0.776,14.897,0.066
9250,EVADE+,0.24,0.756,20.412,0.054
9500,EVADE+,0.296,0.704,27.531,0.05
9750,EVADE+,0.188,0.812,10.634,0.05
10000,EVADE+,0.332,0.664,34.041,0.05
10250,EVADE+,0.324,0.676,33.715,0.05
10320,EVADE+,0.32,0.68,32.851,0.05
10500,EVADE+,0.22,0.78,15.281,0.291
10750,EVADE+,0.196,0.804,11.362,0.279
11000,EVADE+,0.208,0.788,11.553,0.266
11250,EVADE+,0.168,0.832,5.437,0.254
11500,EVADE+,0.204,0.796,11.396,0.241
11750,EVADE+,0.228,0.772,16.828,0.229
12000,EVADE+,0.32,0.68,30.794,0.216
12250,EVADE+,0.236,0.764,21.11,0.204
12500,EVADE+,0.192,0.808,9.035,0.191
12750,EVADE+,0.272,0.728,23.754,0.179
13000,EVADE+,0.228,0.772,15.577,0.166
13250,EVADE+,0.272,0.728,24.774,0.154
13500,EVADE+,0.348,0.652,35.337,0.141
13750,EVADE+,0.224,0.776,16.371,0.129
14000,EVADE+,0.272,0.728,22.414,0.116
14250,EVADE+,0.28,0.72,25.347,0.104
14500,EVADE+,0.376,0.624,40.478,0.091
14750,EVADE+,0.432,0.568,50.923,0.079
15000,EVADE+,0.364,0.636,38.45,0.066
15250,EVADE+,0.352,0.648,38.479,0.054
15500,EVADE+,0.34,0.66,33.438,0.05
15750,EVADE+,0.34,0.66,34.222,0.05
16000,EVADE+,0.556,0.444,69.491,0.05
16250,EVADE+,0.56,0.44,68.789,0.05
16320,EVADE+,0.572,0.428,70.455,0.05
16320,interrupted,0.572,0.428,70.455,0.05
10320,interrupted,0.32,0.68,32.851,0.05
